date,vaccination.administered,vaccination.administered.todate,vaccination.administered2nd,vaccination.administered2nd.todate,vaccination.used.todate
2020-12-27,6092,6092,,,6092
2020-12-28,1630,7722,,,7722
2020-12-29,1303,9025,,,9025
2020-12-30,382,9407,,,9407
2020-12-31,1845,11252,,,11252
2021-01-01,150,11402,,,11402
2021-01-02,404,11806,,,11806
2021-01-03,553,12359,,,12359
2021-01-04,1073,13432,,,13432
2021-01-05,2453,15885,,,15885
2021-01-06,5342,21227,,,21227
2021-01-07,5451,26678,,,26678
2021-01-08,3204,29882,1,1,29883
2021-01-09,254,30136,,1,30137
2021-01-10,1,30137,,1,30138
2021-01-11,478,30615,,1,30616
2021-01-12,1857,32472,,1,32473
2021-01-13,4692,37164,1,2,37166
2021-01-14,6710,43874,1,3,43877
2021-01-15,4759,48633,147,150,48783
2021-01-16,323,48956,,150,49106
2021-01-17,4,48960,,150,49110
2021-01-18,63,49023,165,315,49338
2021-01-19,551,49574,1620,1935,51509
2021-01-20,1164,50738,3611,5546,56284
2021-01-21,1289,52027,3457,9003,61030
2021-01-22,1188,53215,980,9983,63198
2021-01-23,229,53444,483,10466,63910
2021-01-24,16,53460,133,10599,64059
2021-01-25,5,53465,4,10603,64068
2021-01-26,85,53550,1735,12338,65888
2021-01-27,272,53822,4792,17130,70952
2021-01-28,517,54339,5645,22775,77114
2021-01-29,559,54898,3999,26774,81672
2021-01-30,11,54909,105,26879,81788
2021-01-31,,54909,2,26881,81790
2021-02-01,23,54932,30,26911,81843
2021-02-02,21,54953,1092,28003,82956
2021-02-03,192,55145,4594,32597,87742
2021-02-04,618,55763,6770,39367,95130
2021-02-05,374,56137,5270,44637,100774
2021-02-06,28,56165,573,45210,101375
2021-02-07,,56165,,45210,101375
2021-02-08,398,56563,,45210,101773
2021-02-09,88,56651,31,45241,101892
2021-02-10,2500,59151,715,45956,105107
2021-02-11,6841,65992,1801,47757,113749
2021-02-12,6862,72854,1776,49533,122387
2021-02-13,709,73563,188,49721,123284
2021-02-14,16,73579,17,49738,123317
2021-02-15,76,73655,8,49746,123401
2021-02-16,1040,74695,69,49815,124510
2021-02-17,4906,79601,614,50429,130030
2021-02-18,8287,87888,728,51157,139045
2021-02-19,6112,94000,595,51752,145752
2021-02-20,2513,96513,19,51771,148284
2021-02-21,,96513,,51771,148284
2021-02-22,471,96984,3,51774,148758
2021-02-23,1523,98507,13,51787,150294
2021-02-24,6790,105297,187,51974,157271
2021-02-25,10753,116050,189,52163,168213
2021-02-26,7224,123274,542,52705,175979
2021-02-27,917,124191,10,52715,176906
2021-02-28,,124191,,52715,176906
2021-03-01,1136,125327,,52715,178042
2021-03-02,2141,127468,11,52726,180194
2021-03-03,6542,134010,890,53616,187626
2021-03-04,6697,140707,4588,58204,198911
2021-03-05,4577,145284,5697,63901,209185
2021-03-06,1348,146632,592,64493,211125
2021-03-07,1,146633,,64493,211126
2021-03-08,1397,148030,394,64887,212917
2021-03-09,3675,151705,494,65381,217086
2021-03-10,4775,156480,4926,70307,226787
2021-03-11,6242,162722,7853,78160,240882
2021-03-12,8454,171176,5111,83271,254447
2021-03-13,6343,177519,2159,85430,262949
2021-03-14,1,177520,,85430,262950
2021-03-15,1328,178848,292,85722,264570
2021-03-16,276,179124,779,86501,265625
2021-03-17,452,179576,5685,92186,271762
2021-03-18,1676,181252,8390,100576,281828
2021-03-19,2988,184240,4470,105046,289286
2021-03-20,4041,188281,179,105225,293506
2021-03-21,,188281,,105225,293506
2021-03-22,1113,189394,9,105234,294628
2021-03-23,3962,193356,311,105545,298901
2021-03-24,7326,200682,2585,108130,308812
2021-03-25,11857,212539,2535,110665,323204
2021-03-26,13708,226247,2292,112957,339204
2021-03-27,6731,232978,492,113449,346427
2021-03-28,1254,234232,3,113452,347684
2021-03-29,1128,235360,7,113459,348819
2021-03-30,7495,242855,315,113774,356629
2021-03-31,13235,256090,1309,115083,371173
2021-04-01,16673,272763,2660,117743,390506
2021-04-02,9836,282599,2085,119828,402427
2021-04-03,2995,285594,22,119850,405444
2021-04-04,1584,287178,2,119852,407030
2021-04-05,1,287179,,119852,407031
2021-04-06,2452,289631,359,120211,409842
2021-04-07,6125,295756,20,120231,415987
2021-04-08,14704,310460,654,120885,431345
2021-04-09,18479,328939,1687,122572,451511
2021-04-10,9049,337988,130,122702,460690
2021-04-11,1606,339594,13,122715,462309
2021-04-12,1647,341241,202,122917,464158
2021-04-13,3073,344314,774,123691,468005
2021-04-14,7785,352099,3826,127517,479616
2021-04-15,9424,361523,9953,137470,498993
2021-04-16,8385,369908,5686,143156,513064
2021-04-17,2498,372406,3636,146792,519198
2021-04-18,1275,373681,7,146799,520480
2021-04-19,2321,376002,372,147171,523173
2021-04-20,5202,381204,1456,148627,529831
2021-04-21,7701,388905,9038,157665,546570
2021-04-22,8106,397011,11779,169444,566455
2021-04-23,10785,407796,6746,176190,583986
2021-04-24,2480,410276,426,176616,586892
2021-04-25,657,410933,17,176633,587566
2021-04-26,374,411307,7,176640,587947
2021-04-27,451,411758,5,176645,588403
2021-04-28,3180,414938,4649,181294,596232
2021-04-29,5994,420932,13037,194331,615263
2021-04-30,6219,427151,14775,209106,636257
2021-05-01,1067,428218,5976,215082,643300
2021-05-02,1291,429509,2142,217224,646733
2021-05-03,5033,434542,2917,220141,654683
2021-05-04,7140,441682,2743,222884,664566
2021-05-05,10107,451789,7871,230755,682544
2021-05-06,15594,467383,12105,242860,710243
2021-05-07,13428,480811,8507,251367,732178
2021-05-08,5468,486279,5237,256604,742883
2021-05-09,1651,487930,119,256723,744653
2021-05-10,2308,490238,1362,258085,748323
2021-05-11,8122,498360,2112,260197,758557
2021-05-12,16443,514803,5795,265992,780795
2021-05-13,19203,534006,9592,275584,809590
2021-05-14,17092,551098,8552,284136,835234
2021-05-15,6824,557922,4255,288391,846313
2021-05-16,187,558109,2944,291335,849444
2021-05-17,3407,561516,5067,296402,857918
2021-05-18,10075,571591,3571,299973,871564
2021-05-19,15604,587195,7887,307860,895055
2021-05-20,22899,610094,6988,314848,924942
2021-05-21,14682,624776,12482,327330,952106
2021-05-22,3471,628247,7415,334745,962992
2021-05-23,1194,629441,1845,336590,966031
2021-05-24,1193,630634,5303,341893,972527
2021-05-25,3642,634276,6910,348803,983079
2021-05-26,7064,641340,14945,363748,1005088
2021-05-27,9105,650445,20131,383879,1034324
2021-05-28,8329,658774,13962,397841,1056615
2021-05-29,3787,662561,6817,404658,1067219
2021-05-30,1,662562,1,404659,1067221
2021-05-31,2892,665454,3988,408647,1074101
2021-06-01,4433,669887,11618,420265,1090152
2021-06-02,14799,684686,14047,434312,1118998
2021-06-03,17194,701880,19341,453653,1155533
2021-06-04,9880,711760,20060,473713,1185473
2021-06-05,6293,718053,6714,480427,1198480
2021-06-06,3819,721872,2537,482964,1204836
2021-06-07,2937,724809,4317,487281,1212090
2021-06-08,6794,731603,7142,494423,1226026
2021-06-09,9010,740613,13645,508068,1248681
2021-06-10,14770,755383,16354,524422,1279805
2021-06-11,7026,762409,16599,541021,1303430
2021-06-12,1867,764276,5049,546070,1310346
