date,vaccination.pfizer.delivered,vaccination.pfizer.used.todate,vaccination.moderna.delivered,vaccination.moderna.used.todate,vaccination.az.delivered,vaccination.az.used.todate,vaccination.janssen.delivered,vaccination.janssen.used.todate
2020-12-26,11700,,,,,,,
2020-12-30,8190,9406,,,,,,
2021-01-04,19890,13431,,,,,,
2021-01-11,19890,30617,,,,,,
2021-01-12,,,1200,,,,,
2021-01-18,9360,49339,,,,,,
2021-01-25,19890,63559,,,,,,
2021-01-31,,,2400,515,,,,
2021-02-01,17550,81335,,,,,,
2021-02-05,,,4800,948,,,,
2021-02-06,,,,,9600,2,,
2021-02-09,17550,100465,,,,,,
2021-02-11,,,,,9600,881,,
2021-02-15,21060,117390,,,,,,
2021-02-18,,,,,16800,4453,,
2021-02-22,22230,137642,,,,,,
2021-02-25,,,8400,4876,16800,10258,,
2021-03-01,19890,158254,,,,,,
2021-03-04,,,,,21600,22139,,
2021-03-08,19890,177584,,,,,,
2021-03-11,,,,,14400,38511,,
2021-03-12,,,12000,11835,,,,
2021-03-15,19890,198930,,,,,,
2021-03-19,,,,,4800,53913,,
2021-03-22,29250,220321,,,,,,
2021-03-25,,,18000,19838,,,,
2021-03-26,,,,,4800,71228,,
2021-03-29,29250,249443,,,,,,
2021-04-01,,,,,45600,87649,,
2021-04-07,40950,279218,,,,,,
2021-04-08,,,14400,41198,,,,
2021-04-12,40950,320404,,,4800,101832,,
2021-04-14,,,,,,,7200,
2021-04-19,42120,361088,,,16800,108422,,
2021-04-24,,,8400,58573,,,,
2021-04-26,64350,402076,,,2400,126681,,
2021-04-29,,,9600,65218,,,,
2021-04-30,,,,,69600,129759,6000,70
2021-05-03,56160,455448,,,,,,
2021-05-06,,,14400,72656,,,,
2021-05-10,58500,522910,,,,,,
2021-05-12,,,,,14400,149297,,
2021-05-13,,,14400,81290,,,6000,5176
2021-05-17,59670,582212,,,,,,
2021-05-20,,,14400,99024,12000,178820,,
2021-05-21,,,,,,,7200,15524
2021-05-24,58500,639454,,,,,,
2021-05-27,,,14400,108385,,,,
2021-05-28,,,,,62400,212493,19200,20075
2021-05-31,105300,697233,,,,,,
2021-06-02,,,,,300000,228700,12000,23498
2021-06-04,,,14400,120577,,,,
2021-06-07,92430,780023,,,,,,
2021-06-11,,,,,,,12000,35289
2021-06-14,92430,854557,14400,131386,16800,267513,,35696
