date,vaccination.used,vaccination.used.todate,vaccination.used.pfizer,vaccination.used.pfizer.todate,vaccination.used.moderna,vaccination.used.moderna.todate,vaccination.used.az,vaccination.used.az.todate,vaccination.used.janssen,vaccination.used.janssen.todate
2020-12-27,6110,6110,6110,6110,,,,,,
2020-12-28,1629,7739,1629,7739,,,,,,
2020-12-29,1307,9046,1307,9046,,,,,,
2020-12-30,384,9430,384,9430,,,,,,
2020-12-31,1844,11274,1844,11274,,,,,,
2021-01-01,150,11424,150,11424,,,,,,
2021-01-02,404,11828,404,11828,,,,,,
2021-01-03,553,12381,553,12381,,,,,,
2021-01-04,1076,13457,1076,13457,,,,,,
2021-01-05,2453,15910,2453,15910,,,,,,
2021-01-06,5344,21254,5344,21254,,,,,,
2021-01-07,5457,26711,5457,26711,,,,,,
2021-01-08,3208,29919,3208,29919,,,,,,
2021-01-09,254,30173,254,30173,,,,,,
2021-01-10,1,30174,1,30174,,,,,,
2021-01-11,478,30652,478,30652,,,,,,
2021-01-12,1857,32509,1857,32509,,,,,,
2021-01-13,4698,37207,4698,37207,,,,,,
2021-01-14,6712,43919,6712,43919,,,,,,
2021-01-15,4906,48825,4906,48825,,,,,,
2021-01-16,323,49148,323,49148,,,,,,
2021-01-17,4,49152,4,49152,,,,,,
2021-01-18,228,49380,228,49380,,,,,,
2021-01-19,2173,51553,2108,51488,65,65,,,,
2021-01-20,4843,56396,4592,56080,251,316,,,,
2021-01-21,4747,61143,4551,60631,196,512,,,,
2021-01-22,2168,63311,2168,62799,,512,,,,
2021-01-23,718,64029,718,63517,,512,,,,
2021-01-24,149,64178,149,63666,,512,,,,
2021-01-25,9,64187,9,63675,,512,,,,
2021-01-26,1818,66005,1818,65493,,512,,,,
2021-01-27,5066,71071,5065,70558,1,513,,,,
2021-01-28,6177,77248,6176,76734,1,514,,,,
2021-01-29,4560,81808,4559,81293,1,515,,,,
2021-01-30,116,81924,116,81409,,515,,,,
2021-01-31,2,81926,2,81411,,515,,,,
2021-02-01,54,81980,54,81465,,515,,,,
2021-02-02,1113,83093,1112,82577,1,516,,,,
2021-02-03,4788,87881,4787,87364,,516,1,1,,
2021-02-04,7391,95272,6991,94355,400,916,,1,,
2021-02-05,5645,100917,5613,99968,32,948,,1,,
2021-02-06,601,101518,601,100569,,948,,1,,
2021-02-07,,101518,,100569,,948,,1,,
2021-02-08,398,101916,,100569,398,1346,,1,,
2021-02-09,119,102035,31,100600,88,1434,,1,,
2021-02-10,3215,105250,1566,102166,1348,2782,301,302,,
2021-02-11,8659,113909,7193,109359,885,3667,581,883,,
2021-02-12,8645,122554,7404,116763,12,3679,1229,2112,,
2021-02-13,897,123451,723,117486,142,3821,32,2144,,
2021-02-14,33,123484,33,117519,,3821,,2144,,
2021-02-15,84,123568,26,117545,40,3861,18,2162,,
2021-02-16,1110,124678,293,117838,206,4067,611,2773,,
2021-02-17,5520,130198,4650,122488,299,4366,571,3344,,
2021-02-18,9020,139218,7714,130202,195,4561,1111,4455,,
2021-02-19,6711,145929,5373,135575,,4561,1338,5793,,
